id,pays
5,Algeria
6,Angola
7,Benin
16,Egypt
17,Equatorial_Guinea
18,Ethiopia
27,Liberia
28,Libya
29,Madagascar
38,Nigeria
39,Rwanda
40,Sao_Tome_and_Principe
49,Congo
50,Togo
51,Tunisia
110,China
111,Hong_Kong
112,India
121,Kyrgyzstan
122,Laos
123,Lebanon
132,Qatar
133,Saudi_Arabia
134,Singapore
143,United_Arab_Emirates
144,Uzbekistan
145,Vietnam
366,Costa_Rica
367,Cuba
368,Dominica
380,Curacao
381,Nicaragua
382,Panama
574,Commonwealth_of_Independent_States
575,Czechoslovakia
577,East_Germany
758,Belarus
759,Bosnia_and_Herzegovina
760,Bulgaria
769,France
770,Georgia
771,Germany
780,Luxembourg
781,North_Macedonia
782,Malta
791,Russia
792,San_Marino
793,Scotland
802,Serbia
1435,Australia
1436,Cook_Islands
1649,Argentina
1650,Bolivia
1651,Brazil
103277,Zaire
114502,Basque_Country
129504,American_Samoa
129532,New_Caledonia
917506,Sint_Maarten
917508,Saint_Martin
131012,Bhutan
13100103,Zanzibar
13113220,South_Sudan
106,Afghanistan
752,Albania
753,Andorra
129514,Anguilla
359,Antigua_and_Barbuda
754,Armenia
360,Aruba
755,Austria
756,Azerbaijan
388,Bahamas
107,Bahrain
108,Bangladesh
361,Barbados
757,Belgium
362,Belize
363,Bermuda
214395,Bonaire
8,Botswana
129517,British_Virgin_Islands
109,Brunei
9,Burkina_Faso
5630219,Myanmar
10,Burundi
118,Cambodia
11,Cameroon
364,Canada
12,Cape_Verde
365,Cayman_Islands
13,Central_African_Republic
53,Congo_The_Democratic_Republic_of_the
763,Czechia
764,Denmark
15,Djibouti
142527,Dominican_Republic
14,Chad
1652,Chile
138,Chinese_Taipei
1653,Colombia
919586,Comoros
761,Croatia
762,Cyprus
5626837,Timor_Leste
1654,Ecuador
370,El_Salvador
765,England
129511,Eritrea
766,Estonia
767,Faroe_Islands
1437,Fiji
768,Finland
917496,French_Guiana
19,Gabon
20,Gambia
21,Ghana
214394,Gibraltar
145174,Great_Britain
772,Greece
371,Grenada
917498,Guadeloupe
129508,Guam
373,Guatemala
22,Guinea
23,Guinea_Bissau
374,Guyana
375,Haiti
784,Netherlands
376,Honduras
773,Hungary
774,Iceland
113,Indonesia
114,Iran
115,Iraq
789,Ireland
775,Israel
24,Ivory_Coast
377,Jamaica
117,Jordan
119,Kazakhstan
25,Kenya
209002,Kiribati
120,Kuwait
777,Latvia
26,Lesotho
778,Liechtenstein
779,Lithuania
780,Luxembourg
124,Macao
30,Malawi
125,Malaysia
126,Maldives
31,Mali
917502,Martinique
32,Mauritania
33,Mauritius
918740,Mayotte
379,Mexico
783,Moldova
8162661,Monaco
129505,Mongolia
62002127,Montenegro
129520,Montserrat
35,Mozambique
785,Northern_Ireland
36,Namibia
128,Nepal
1438,New_Zealand
37,Niger
129,North_Korea
23008660,Northern_Mariana_Islands
786,Norway
130,Oman
131,Pakistan
1662,Palestine
1439,Papua_New_Guinea
1655,Paraguay
114502,Basque_Country
1656,Peru
141,Philippines
787,Poland
788,Portugal
383,Puerto_Rico
917510,Reunion
790,Romania
1444,Samoa
41,Senegal
42,Seychelles
43,Sierra_Leone
794,Slovakia
795,Slovenia
1440,Solomon_Islands
44,Somalia
45,South_Africa
135,South_Korea
5626565,South_Vietnam
208996,South_Yemen
796,Spain
136,Sri_Lanka
385,Saint_Kitts_and_Nevis
384,Saint_Lucia
918748,Saint_Pierre_and_Miquelon
386,Saint_Vincent_and_the_Grenadines
46,Sudan
387,Suriname
47,Swaziland
797,Sweden
798,Switzerland
137,Syria
1441,Tahiti
139,Tajikistan
48,Tanzania
140,Thailand
1442,Tonga
389,Trinidad_and_Tobago
799,Turkey
142,Turkmenistan
129526,Turks_and_Caicos_Islands
23088616,Tuvalu
390,United_States
583,Soviet_Union
52,Uganda
800,Ukraine
29118470,United_Arab_Republic
13116454,Upper_Volta
1657,Uruguay
129523,United_States_Virgin_Islands
1443,Vanuatu
1658,Venezuela
584,West_Germany
801,Wales
918745,Wallis_and_Futuna
146,Yemen
62003815,Yugoslavia
54,Zambia
55,Zimbabwe